package,commit_sha,ubuntu_2404_version,ubuntu_2604_version,ubuntu_2404_apt_version_at_check,_apt_fetch_error,ubuntu_component,ubuntu_2404_patch_method,patch_marker_found,_marker_quality,_debian_query_attempted,debian_cve_statuses,cve_assigned,cve_ids,usn_published,usn_ids,ubuntu_2404_actually_patched,vuln_confirmed,severity,backport_feasibility,maintenance_gap_type,_review_flags,upstream_commit,upstream_2404_tag_url,ubuntu_changelog_changelogs_org,ubuntu_changelog_package_overview,first_cve_page,first_usn_page,upstream_issue_search,q1_upstream_commit,q2_upstream_source,q3_ubuntu_changelog
libarchive-dev,6f9adc5d5c1a3cf7737d52f40dc2f74500e7d55c,3.7.2-2,3.8.5-1ubuntu2,3.7.2-2ubuntu0.6,,main,none,False,post_fix_only,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,MEDIUM,Trivial,Trigger_Gap,"[""MARKER_POST_FIX_ONLY""]",https://github.com/libarchive/libarchive/commit/6f9adc5d5c1a3cf7737d52f40dc2f74500e7d55c,https://github.com/libarchive/libarchive/tree/v3.7.2,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog,https://launchpad.net/ubuntu/+source/libarchive/+changelog,,,https://github.com/libarchive/libarchive/issues?q=#2829,https://github.com/libarchive/libarchive/commit/6f9adc5d5c1a3cf7737d52f40dc2f74500e7d55c,https://github.com/libarchive/libarchive/blob/v3.7.2/libarchive/archive_write_set_format_shar.c,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog
libarchive-dev,c8ea1e5da2a6ab54935aa5659a6eb569840a0704,3.7.2-2,3.8.5-1ubuntu2,3.7.2-2ubuntu0.6,,main,not_present,False,shared_context,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,MEDIUM,Trivial,Trigger_Gap,[],https://github.com/libarchive/libarchive/commit/c8ea1e5da2a6ab54935aa5659a6eb569840a0704,https://github.com/libarchive/libarchive/tree/v3.7.2,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog,https://launchpad.net/ubuntu/+source/libarchive/+changelog,,,https://github.com/libarchive/libarchive/issues?q=#2813,https://github.com/libarchive/libarchive/commit/c8ea1e5da2a6ab54935aa5659a6eb569840a0704,https://github.com/libarchive/libarchive/blob/v3.7.2/tar/write.c,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog
libarchive-dev,82b57a9740aa6d084edcf4592a3b8e49f63dec98,3.7.2-2,3.8.5-1ubuntu2,3.7.2-2ubuntu0.6,,main,not_present,False,,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Trivial,Trigger_Gap,[],https://github.com/libarchive/libarchive/commit/82b57a9740aa6d084edcf4592a3b8e49f63dec98,https://github.com/libarchive/libarchive/tree/v3.7.2,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog,https://launchpad.net/ubuntu/+source/libarchive/+changelog,,,https://github.com/libarchive/libarchive/issues?q=#2768,https://github.com/libarchive/libarchive/commit/82b57a9740aa6d084edcf4592a3b8e49f63dec98,https://github.com/libarchive/libarchive/blob/v3.7.2/libarchive/archive_read_support_format_lha.c,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog
libarchive-dev,ed84daf889902c472db860f44cdf506d956f1fb4,3.7.2-2,3.8.5-1ubuntu2,3.7.2-2ubuntu0.6,,main,quilt_patch,True,shared_context,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],True,True,HIGH,Easy,Trigger_Gap,"[""CONFIDENCE_LOW: ubuntu_2404_actually_patched=true with no CVE and no USN — high risk of false positive (marker may match an unrelated patch context line). Manual review required.""]",https://github.com/libarchive/libarchive/commit/ed84daf889902c472db860f44cdf506d956f1fb4,https://github.com/libarchive/libarchive/tree/v3.7.2,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog,https://launchpad.net/ubuntu/+source/libarchive/+changelog,,,https://github.com/libarchive/libarchive/issues?q=#2737,https://github.com/libarchive/libarchive/commit/ed84daf889902c472db860f44cdf506d956f1fb4,https://github.com/libarchive/libarchive/blob/v3.7.2/libarchive/archive_read_support_format_tar.c,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog
libarchive-dev,94817fa277078aa04e9727ad747746f62efdf2da,3.7.2-2,3.8.5-1ubuntu2,3.7.2-2ubuntu0.6,,main,not_present,False,pre_fix_code,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,LOW,Easy,Trigger_Gap,[],https://github.com/libarchive/libarchive/commit/94817fa277078aa04e9727ad747746f62efdf2da,https://github.com/libarchive/libarchive/tree/v3.7.2,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog,https://launchpad.net/ubuntu/+source/libarchive/+changelog,,,https://github.com/libarchive/libarchive/issues?q=#2729,https://github.com/libarchive/libarchive/commit/94817fa277078aa04e9727ad747746f62efdf2da,https://github.com/libarchive/libarchive/blob/v3.7.2/libarchive/archive_write.c,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog
libopenjp2-7,578c67b3291042377ab3aa82265a304d3fdfed4a,2.5.0-2build3,2.5.4-1,2.5.0-2ubuntu0.5,,main,none,False,post_fix_only,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,MEDIUM,Trivial,Trigger_Gap,"[""MARKER_POST_FIX_ONLY""]",https://github.com/uclouvain/openjpeg/commit/578c67b3291042377ab3aa82265a304d3fdfed4a,https://github.com/uclouvain/openjpeg/tree/v2.5.0,https://changelogs.ubuntu.com/changelogs/pool/main/o/openjpeg2/openjpeg2_2.5.0-2ubuntu0.5/changelog,https://launchpad.net/ubuntu/+source/openjpeg2/+changelog,,,https://github.com/uclouvain/openjpeg/issues?q=Fixed,https://github.com/uclouvain/openjpeg/commit/578c67b3291042377ab3aa82265a304d3fdfed4a,https://github.com/uclouvain/openjpeg/blob/v2.5.0/src/lib/openjp2/jp2.c,https://changelogs.ubuntu.com/changelogs/pool/main/o/openjpeg2/openjpeg2_2.5.0-2ubuntu0.5/changelog
libopenjp2-7,98592ee6d6904f1b48e8207238779b89a63befa2,2.5.0-2build3,2.5.4-1,2.5.0-2ubuntu0.5,,main,quilt_patch,True,shared_context,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],True,True,MEDIUM,Easy,Trigger_Gap,"[""CONFIDENCE_LOW: ubuntu_2404_actually_patched=true with no CVE and no USN — high risk of false positive (marker may match an unrelated patch context line). Manual review required.""]",https://github.com/uclouvain/openjpeg/commit/98592ee6d6904f1b48e8207238779b89a63befa2,https://github.com/uclouvain/openjpeg/tree/v2.5.0,https://changelogs.ubuntu.com/changelogs/pool/main/o/openjpeg2/openjpeg2_2.5.0-2ubuntu0.5/changelog,https://launchpad.net/ubuntu/+source/openjpeg2/+changelog,,,https://github.com/uclouvain/openjpeg/issues?q=sycc422_to_rgb,https://github.com/uclouvain/openjpeg/commit/98592ee6d6904f1b48e8207238779b89a63befa2,https://github.com/uclouvain/openjpeg/blob/v2.5.0/src/bin/common/color.c,https://changelogs.ubuntu.com/changelogs/pool/main/o/openjpeg2/openjpeg2_2.5.0-2ubuntu0.5/changelog
libopenjp2-7,f3b28c5ee417df9f23ca590b0e949d8a309408a0,2.5.0-2build3,2.5.4-1,2.5.0-2ubuntu0.5,,main,not_present,False,pre_fix_code,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Easy,Trigger_Gap,[],https://github.com/uclouvain/openjpeg/commit/f3b28c5ee417df9f23ca590b0e949d8a309408a0,https://github.com/uclouvain/openjpeg/tree/v2.5.0,https://changelogs.ubuntu.com/changelogs/pool/main/o/openjpeg2/openjpeg2_2.5.0-2ubuntu0.5/changelog,https://launchpad.net/ubuntu/+source/openjpeg2/+changelog,,,https://github.com/uclouvain/openjpeg/issues?q=Avoid,https://github.com/uclouvain/openjpeg/commit/f3b28c5ee417df9f23ca590b0e949d8a309408a0,https://github.com/uclouvain/openjpeg/blob/v2.5.0/src/lib/openjp2/t1.c,https://changelogs.ubuntu.com/changelogs/pool/main/o/openjpeg2/openjpeg2_2.5.0-2ubuntu0.5/changelog
libopenjp2-7,dea92eea8b6ab55f7eb542ea229b2c2124aa2124,2.5.0-2build3,2.5.4-1,2.5.0-2ubuntu0.5,,main,none,False,post_fix_only,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Trivial,Trigger_Gap,"[""MARKER_POST_FIX_ONLY""]",https://github.com/uclouvain/openjpeg/commit/dea92eea8b6ab55f7eb542ea229b2c2124aa2124,https://github.com/uclouvain/openjpeg/tree/v2.5.0,https://changelogs.ubuntu.com/changelogs/pool/main/o/openjpeg2/openjpeg2_2.5.0-2ubuntu0.5/changelog,https://launchpad.net/ubuntu/+source/openjpeg2/+changelog,,,https://github.com/uclouvain/openjpeg/issues?q=opj_j2k_read_sod,https://github.com/uclouvain/openjpeg/commit/dea92eea8b6ab55f7eb542ea229b2c2124aa2124,https://github.com/uclouvain/openjpeg/blob/v2.5.0/src/lib/openjp2/j2k.c,https://changelogs.ubuntu.com/changelogs/pool/main/o/openjpeg2/openjpeg2_2.5.0-2ubuntu0.5/changelog
libopenjp2-7,2c0823cb30a70319c704565b59f496e490a3c7f9,2.5.0-2build3,2.5.4-1,2.5.0-2ubuntu0.5,,main,none,False,post_fix_only,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Trivial,Trigger_Gap,"[""MARKER_POST_FIX_ONLY""]",https://github.com/uclouvain/openjpeg/commit/2c0823cb30a70319c704565b59f496e490a3c7f9,https://github.com/uclouvain/openjpeg/tree/v2.5.0,https://changelogs.ubuntu.com/changelogs/pool/main/o/openjpeg2/openjpeg2_2.5.0-2ubuntu0.5/changelog,https://launchpad.net/ubuntu/+source/openjpeg2/+changelog,,,https://github.com/uclouvain/openjpeg/issues?q=Integer,https://github.com/uclouvain/openjpeg/commit/2c0823cb30a70319c704565b59f496e490a3c7f9,https://github.com/uclouvain/openjpeg/blob/v2.5.0/src/lib/openjp2/j2k.c,https://changelogs.ubuntu.com/changelogs/pool/main/o/openjpeg2/openjpeg2_2.5.0-2ubuntu0.5/changelog
